Link Type,URL
internal,"{'href': 'https://scholar.harvard.edu/binxuw/classes/machine-learning-scratch/materials/transformers/#main-content', 'text': 'Skip to main content', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/classes/machine-learning-scratch/materials/transformers/', 'text': 'Main Menu', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'http://www.harvard.edu/', 'text': '', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw', 'text': 'Binxu Wang', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/file/755366', 'text': 'GA4 tracking code - linked', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/file/755361', 'text': 'GA4 tracking code', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/bio', 'text': 'Bio', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/publications', 'text': 'Publications', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/research', 'text': 'Research', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/classes', 'text': 'Teaching', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/news', 'text': 'News', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/classes/machine-learning-scratch', 'text': 'MACHINE LEARNING FROM SCRATCH', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/sites/scholar.harvard.edu/files/binxuw/files/mlfs_tutorial_nlp_transformer_ssl_updated.pdf', 'text': 'slides', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/', 'text': 'The Illustrated Transformer\xa0– Jay Alammar', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://nlp.seas.harvard.edu/2018/04/03/attention.html', 'text': 'The Annotated Transformer (harvard.edu)', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/user?destination=node/700536%3Fadmin_panel%3D1%26login%3D1', 'text': 'Admin Login', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://accessibility.harvard.edu/', 'text': 'Accessibility', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://accessibility.huit.harvard.edu/digital-accessibility-policy', 'text': 'Digital Accessibility', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://www.harvard.edu/copyright-issue/', 'text': 'Report Copyright Infringement', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/classes/machine-learning-scratch/materials/transformers/#1703027511-iframe', 'text': 'Iframe', 'title': '', 'base_domain': 'harvard.edu'}"
internal,"{'href': 'https://scholar.harvard.edu/binxuw/classes/machine-learning-scratch/materials/transformers/#1703027511-oembed', 'text': 'URL', 'title': '', 'base_domain': 'harvard.edu'}"
external,"{'href': 'https://colab.research.google.com/drive/1ZuhA6khlWm57WGZ8i38JH-gc5aJrvpvs?usp=sharing', 'text': 'Understanding\xa0Attention\xa0&\xa0Transformer from Scratch', 'title': '', 'base_domain': 'google.com'}"
external,"{'href': 'https://colab.research.google.com/drive/1zZYzAopL__LW4glruSF9lnZYlEmSVI8j?usp=sharing', 'text': 'Language\xa0modelling and pretrained transformers', 'title': '', 'base_domain': 'google.com'}"
